Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-28299.672	9396.753	-17570.693	-41817.72	-11614927.0	226430.98	-11256440.0	-12027615.0	1000.0	1000.0	5000	-1094.5659	1107.9161	21.844656	-4754.8696	-1094.5223	1107.9403	12.448622	-4700.5127	1415.2167	6330.1216	28.7280535697937
2	-14809.224	5822.8687	-10921.706	-26286.586	-11426660.0	232056.28	-11150937.0	-11960482.0	1000.0	1000.0	10000	-8596.899	3652.128	-2487.6301	-21909.363	-8596.678	3652.1602	-2525.7434	-22627.205	9660.976	159154.67	53.70407009124756
3	-11873745.0	289426.8	-11313512.0	-12106282.0	-11604327.0	342542.6	-11211556.0	-11976143.0	1000.0	1000.0	15000	-46813.227	60020.69	-4905.9526	-284777.53	-46815.562	60019.816	-9344.982	-284860.0	47220.562	522080.34	79.83959102630615
4	-11719557.0	277259.03	-11187569.0	-11971326.0	-11760773.0	439421.34	-11259293.0	-12590042.0	1000.0	1000.0	20000	-124947.52	141223.52	-13808.73	-475546.6	-124947.445	141223.7	-13897.216	-476208.47	124589.65	474066.47	106.12823009490967
5	-11715627.0	346351.72	-11274576.0	-12053319.0	-11274982.0	55453.66	-11171468.0	-11355414.0	1000.0	1000.0	25000	-217348.23	214706.69	-13643.619	-645339.25	-217348.16	214706.94	-13454.26	-645294.06	217641.02	525103.1	133.29157662391663
6	-11345370.0	45045.145	-11282854.0	-11388797.0	-11357801.0	137779.14	-11169666.0	-11717756.0	1000.0	1000.0	30000	-309218.9	274056.47	-13833.545	-795866.06	-309218.88	274056.66	-13483.828	-796050.3	309469.28	612663.06	163.4178068637848
7	-11333014.0	26188.145	-11294090.0	-11364331.0	-11372122.0	87708.34	-11313463.0	-11619383.0	1000.0	1000.0	35000	-396230.78	323038.44	-16551.898	-929891.75	-396230.7	323038.72	-15828.056	-930570.3	397011.38	732823.3	194.41619968414307
8	-11324411.0	32673.828	-11278066.0	-11380037.0	-11376781.0	95841.27	-11285344.0	-11635934.0	1000.0	1000.0	40000	-476961.53	362885.22	-18580.766	-1049351.4	-476961.6	362885.44	-17358.414	-1049354.6	476842.6	884387.3	223.6427948474884
9	-11354006.0	33118.65	-11302819.0	-11385862.0	-11415878.0	174288.12	-11289293.0	-11855584.0	1000.0	1000.0	45000	-551900.7	396403.94	-22973.342	-1153625.8	-551900.8	396403.94	-23777.982	-1153483.5	550859.06	974601.2	251.0974724292755
10	-11351654.0	40829.625	-11302263.0	-11401407.0	-11343203.0	123432.336	-11108631.0	-11632175.0	1000.0	1000.0	50000	-620618.7	424479.12	-30040.809	-1246602.2	-620618.56	424479.4	-29373.455	-1247032.1	620519.8	1120223.4	278.42215394973755
11	-11443605.0	223869.39	-11287944.0	-11886414.0	-11376007.0	25795.799	-11308411.0	-11404860.0	1000.0	1000.0	55000	-684911.1	447952.72	-37350.984	-1328932.4	-684911.2	447952.78	-34912.812	-1329922.6	685621.06	1227296.4	307.20634746551514
12	-11344413.0	165702.25	-11126559.0	-11636615.0	-11362864.0	31189.398	-11283766.0	-11391656.0	1000.0	1000.0	60000	-742257.94	466809.84	-44332.992	-1404152.9	-742257.94	466809.94	-43912.617	-1404853.0	743049.75	1391922.4	337.40875697135925
13	-11383407.0	122023.11	-11288312.0	-11620138.0	-11355186.0	47735.84	-11264952.0	-11437418.0	1000.0	1000.0	65000	-793157.9	482820.12	-51068.906	-1466759.0	-793157.7	482820.62	-51141.477	-1467897.1	793293.0	1562210.9	364.32522416114807
14	-11376736.0	23606.727	-11330575.0	-11397459.0	-11375758.0	11497.786	-11362334.0	-11403664.0	1000.0	1000.0	70000	-840739.25	495601.72	-59198.37	-1526300.6	-840738.75	495601.8	-55856.117	-1526666.2	841185.8	1723353.2	391.33616876602173
15	-11552696.0	242482.83	-11317450.0	-11859810.0	-11355025.0	96842.82	-11215188.0	-11583385.0	1000.0	1000.0	75000	-882964.7	507203.94	-66879.414	-1577016.4	-882965.1	507204.25	-65534.82	-1577281.2	882903.9	1889186.4	418.2852153778076
