Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-197.03734	128.1269	-45.677784	-707.17993	-21.209005	0.30539647	-20.87828	-21.832535	30.0	30.0	5000	-12.597624	11.244784	1.2040291	-92.00384	-12.608318	11.257544	1.020859	-93.67152	6.9866757	10.555233	6.976796865463257
2	-188.09984	140.03758	-52.086735	-822.61865	-17.613895	0.11290751	-17.45487	-17.796986	30.0	30.0	10000	-17.197733	13.436909	0.50938165	-166.68787	-17.196545	13.435237	1.3935683	-171.35263	11.191548	12.7715845	13.79787540435791
3	-18.255611	10.749959	-16.651714	-156.13261	-17.139992	0.16227646	-16.86583	-17.382719	30.0	30.0	15000	-14.127768	13.371885	0.78077066	-171.63853	-14.12784	13.376127	0.72443724	-177.1159	9.269742	9.974584	21.61066222190857
4	-17.026207	0.3683537	-16.348955	-19.046225	-16.731785	0.084064305	-16.59809	-16.861637	30.0	30.0	20000	-10.895512	12.567179	0.9249124	-172.76183	-10.895873	12.569686	0.924421	-175.65251	7.4128733	6.8915143	29.3941867351532
5	-16.763601	0.17897044	-16.289816	-17.416893	-16.88761	0.071602896	-16.794645	-17.06054	30.0	30.0	25000	-8.921733	11.657883	0.7602255	-172.32147	-8.921725	11.659726	0.8491075	-174.10023	6.197854	5.3700776	37.25953125953674
6	-16.867062	0.20459484	-16.50963	-17.47629	-16.80325	0.03223419	-16.758772	-16.861753	30.0	30.0	30000	-7.7891006	10.879359	0.8214227	-174.93835	-7.789212	10.879664	0.959704	-177.58742	5.5802755	4.183616	45.60823345184326
7	-16.947683	0.22187491	-16.434872	-17.736208	-17.214094	0.15770626	-16.939365	-17.41226	30.0	30.0	35000	-7.011135	10.268769	0.8268829	-173.90182	-7.0113306	10.268678	0.9192929	-179.50792	5.126137	3.4413316	53.5900936126709
8	-17.074223	0.21724299	-16.527285	-18.09336	-16.83649	0.09137536	-16.758461	-17.064714	30.0	30.0	40000	-6.4730196	9.777495	0.89651346	-171.40175	-6.473047	9.777546	0.7270869	-178.56372	4.8454895	3.1308756	61.65475821495056
9	-17.355967	0.3575836	-16.675522	-18.565628	-17.328209	0.082296565	-17.24357	-17.48787	30.0	30.0	45000	-6.051323	9.322619	0.71799105	-169.16708	-6.0511928	9.323697	0.60435367	-175.82874	4.606876	2.7431357	69.87912225723267
10	-17.627966	0.28455567	-17.0939	-18.688128	-17.718351	0.06788351	-17.64728	-17.828432	30.0	30.0	50000	-5.823075	9.04222	0.65936965	-167.95155	-5.823189	9.043473	0.6207572	-171.0591	4.5446873	2.4359393	77.7204942703247
11	-17.795639	0.23885603	-17.096289	-18.474642	-17.124239	0.10856032	-16.984335	-17.278347	30.0	30.0	55000	-5.6514363	8.746071	0.5232597	-169.10663	-5.651523	8.746946	0.55913836	-175.52785	4.4951024	2.1817384	85.79456543922424
12	-17.575668	0.3301544	-16.905834	-18.555952	-17.33696	0.10266039	-17.17886	-17.49129	30.0	30.0	60000	-5.4330897	8.571419	0.59096074	-172.7784	-5.4333587	8.569447	0.71459913	-173.55391	4.3501983	2.0964825	93.99321794509888
