Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-1249.2979	132.91725	-1087.2754	-1482.9778	-604.9508	81.25771	-486.96405	-717.74554	800.0	800.0	5000	-6.0089912	2.209758	9.350167	-17.715925	-6.0078983	2.2138853	17.115442	-16.186018	4.7071323	0.6939217	22.487322092056274
2	-1167.7572	76.94147	-1071.8269	-1279.0558	-592.7343	79.02627	-488.92773	-733.5793	800.0	800.0	10000	-10.074973	3.322823	-2.2525733	-28.716269	-10.074506	3.3234074	-2.2914329	-28.589941	8.857298	0.51428723	45.23453330993652
3	-636.14667	96.86741	-546.0032	-832.68146	-469.78302	126.42089	-290.8486	-645.5182	800.0	800.0	15000	-10.507463	4.5552683	3.6797504	-32.916588	-10.507616	4.5543904	2.3728328	-33.019493	9.217463	0.58946055	68.84660387039185
4	-509.59055	54.482605	-411.09872	-594.81757	-543.3049	37.046486	-471.41	-597.16113	800.0	800.0	20000	-10.771823	3.1369267	8.067468	-31.298653	-10.771891	3.135952	3.7518346	-31.370764	9.854206	0.4434755	95.51715803146362
5	-567.83746	64.35318	-448.00293	-636.9275	-566.5221	108.64869	-419.27197	-715.0476	800.0	800.0	25000	-14.452225	3.2710404	4.024667	-31.648874	-14.452061	3.270968	3.1914613	-31.652044	13.860415	0.7198711	120.41511702537537
6	-559.60736	88.47106	-409.23337	-675.983	-582.3247	96.81982	-450.3659	-734.923	800.0	800.0	30000	-19.388708	3.7511694	10.331005	-38.15856	-19.38844	3.7505386	16.919727	-37.619484	18.789515	1.2643429	144.29217743873596
7	-567.9328	148.00119	-344.4982	-816.63007	-438.8239	91.159744	-285.87265	-573.54895	800.0	800.0	35000	-23.093927	4.736576	8.1505995	-42.0554	-23.093758	4.7346544	5.36929	-42.15675	22.378464	1.6180483	168.3706247806549
8	-535.4892	113.93622	-425.66394	-727.4432	-500.42	107.65409	-361.0712	-684.7801	800.0	800.0	40000	-25.412376	5.6033792	7.8423295	-43.70891	-25.41241	5.6006556	7.277879	-44.613487	24.708494	1.9842148	195.44721961021423
9	-971.6812	494.727	-444.81482	-1759.9286	-1325.245	71.995605	-1166.3021	-1395.634	800.0	800.0	45000	-26.148525	9.338453	46.355846	-44.973515	-26.148737	9.337254	44.46794	-45.271896	25.211632	2.4393208	219.14710640907288
10	-935.6743	304.94043	-640.9231	-1425.4055	-548.0966	36.160892	-507.3622	-629.497	800.0	800.0	50000	-22.178274	9.862118	20.719799	-44.546604	-22.178114	9.86137	20.700918	-44.836395	21.295504	1.7469071	243.15430307388306
11	-577.46246	49.44617	-516.4383	-652.3957	-578.10284	94.47646	-487.08823	-820.0074	800.0	800.0	55000	-23.716465	8.190305	24.820982	-43.007004	-23.716438	8.189708	25.104298	-42.848087	23.101713	1.9025277	267.17476630210876
12	-496.51114	63.86603	-403.93222	-618.4794	-535.0829	67.697716	-439.47516	-668.1824	800.0	800.0	60000	-28.611471	7.3927727	22.218296	-48.57745	-28.611626	7.391666	21.801113	-48.341072	28.002762	2.4915378	294.38023567199707
13	-485.60034	80.915924	-349.36905	-595.80884	-430.0603	69.845634	-340.36066	-589.19855	800.0	800.0	65000	-32.19569	7.711801	19.165268	-53.023506	-32.19557	7.711441	19.521603	-53.042694	31.595755	3.1357784	318.5108621120453
14	-404.0233	60.664608	-324.4885	-468.5693	-475.92	78.17073	-364.92725	-629.3113	800.0	800.0	70000	-34.37344	8.297759	19.947306	-58.590733	-34.37369	8.296388	18.728786	-58.621853	33.858894	3.573663	342.70482301712036
15	-508.23218	96.97727	-393.7057	-682.88043	-485.34198	89.08663	-360.38715	-680.3592	800.0	800.0	75000	-36.467724	9.739975	37.34848	-62.186512	-36.46781	9.740185	37.265022	-62.48735	35.860653	4.1296124	366.6575241088867
16	-503.20343	147.07367	-336.44794	-756.6085	-480.733	94.726204	-312.76083	-626.88403	800.0	800.0	80000	-38.204712	10.232164	34.393852	-65.50957	-38.20463	10.231983	34.19881	-66.38239	37.73132	4.2265296	394.20459270477295
17	-474.35922	70.83627	-357.84027	-560.99725	-538.984	83.366325	-384.76596	-692.9639	800.0	800.0	85000	-40.12358	10.457925	31.923698	-68.084465	-40.12368	10.458069	31.846342	-68.15215	39.633724	4.5495434	475.8940341472626
18	-434.68686	99.75384	-267.38983	-541.6885	-532.8048	85.20799	-398.42694	-711.499	800.0	800.0	90000	-41.50305	10.841746	31.079033	-71.6386	-41.503147	10.840695	31.152994	-71.8848	41.071045	4.9570694	500.0968623161316
19	-479.38208	138.40807	-312.71393	-699.11487	-462.2495	91.190605	-317.3423	-621.44794	800.0	800.0	95000	-42.53834	11.466464	39.805027	-71.48564	-42.538486	11.466105	38.409893	-71.58432	42.06785	5.4595156	524.4480302333832
20	-459.555	101.312645	-253.77986	-599.00165	-512.75116	114.65966	-323.112	-704.72876	800.0	800.0	100000	-44.00843	11.372572	32.430748	-77.92007	-44.008827	11.371982	32.485477	-77.605194	43.56857	5.22273	551.9811317920685
21	-503.6133	79.3768	-407.57657	-651.8394	-467.45184	90.80838	-339.94092	-615.74146	800.0	800.0	105000	-45.25855	11.647076	31.361904	-78.54466	-45.25842	11.646169	31.661783	-78.31924	44.819523	5.6534758	576.2936005592346
22	-472.38867	80.66408	-363.24966	-612.18866	-389.4355	98.20731	-303.7106	-660.16754	800.0	800.0	110000	-46.272144	11.83998	28.4094	-83.82018	-46.27234	11.838683	27.728683	-84.81228	45.85076	6.093522	600.819827079773
