Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-1962.9624	52.40559	-1908.1261	-2030.8207	-547.85455	103.371414	-425.98593	-722.4034	800.0	800.0	5000	-6.640542	4.501673	8.736887	-31.397177	-6.64059	4.5032725	12.652749	-31.02376	2.8436604	1.5954725	23.52930784225464
2	-1974.4639	97.37391	-1821.0236	-2087.767	-588.1697	59.571033	-533.88184	-738.1094	800.0	800.0	10000	-3.0954447	0.9070267	0.078540996	-7.960371	-3.0956814	0.90693605	0.030233696	-7.1127696	0.35365433	0.10768944	46.962913036346436
3	-653.8729	376.3005	-409.35718	-1479.9647	-702.952	47.845394	-631.97107	-781.2529	800.0	800.0	15000	-3.264182	1.4706451	0.7213183	-11.707074	-3.2642636	1.4710015	0.5334122	-11.922715	1.2533143	0.09953978	71.63623833656311
4	-594.626	99.878494	-409.31427	-749.9877	-698.93243	30.52493	-666.57245	-764.24744	800.0	800.0	20000	-5.7855496	2.1332285	-0.08551888	-19.613289	-5.7857366	2.1329942	-0.34500352	-19.264214	4.276956	0.19662358	99.7224748134613
5	-661.79224	111.72096	-514.1553	-858.9312	-616.8963	53.67585	-543.04584	-721.23615	800.0	800.0	25000	-8.32382	2.4919863	2.7473257	-22.346373	-8.323922	2.491864	2.3697028	-22.51443	6.958343	0.28555104	124.47454452514648
6	-640.33887	91.95342	-510.19727	-798.7428	-570.53937	136.09357	-427.043	-829.3265	800.0	800.0	30000	-11.230804	2.7843022	2.9754949	-24.70727	-11.231385	2.7832148	4.1713	-24.767174	9.996914	0.45085344	149.07107591629028
7	-575.8252	85.814186	-461.76373	-688.34015	-564.5507	91.7887	-430.16965	-768.2337	800.0	800.0	35000	-14.95886	3.5687506	4.34064	-31.176666	-14.958768	3.5690274	3.2740965	-30.447487	13.785008	0.7431239	173.63918018341064
8	-609.6485	120.26609	-408.59897	-820.1406	-879.52167	284.65045	-444.42557	-1264.3335	800.0	800.0	40000	-17.923956	4.459653	4.512987	-37.47025	-17.92393	4.4605737	14.831261	-37.5073	16.858047	1.0082788	201.8153727054596
9	-709.0757	200.66682	-352.4142	-953.39795	-752.6981	135.50722	-540.08057	-908.66296	800.0	800.0	45000	-21.457003	4.679094	7.720331	-40.68528	-21.457014	4.6780987	7.015916	-41.07608	20.415367	1.4286041	226.64038705825806
10	-668.62573	126.59474	-527.4236	-831.3176	-652.69434	146.55336	-389.13742	-889.86804	800.0	800.0	50000	-24.858498	4.323557	-0.29625428	-42.629684	-24.858742	4.3252316	5.74512	-42.90988	23.815746	1.9240456	251.32868313789368
11	-702.21	171.14973	-440.95636	-939.74976	-605.5821	88.617546	-454.17206	-744.4432	800.0	800.0	55000	-27.980793	4.347746	12.75587	-46.763252	-27.98082	4.3500285	12.241402	-46.68629	27.030035	2.4614186	275.9708242416382
12	-638.2	140.33208	-438.2733	-891.9794	-752.35223	213.51836	-407.2855	-922.9685	800.0	800.0	60000	-31.158228	4.9309015	12.420963	-56.457108	-31.158504	4.9351273	19.568844	-56.408123	30.222763	2.9252932	304.09391689300537
13	-706.1812	347.97885	-367.03378	-1297.8612	-549.7711	157.56027	-377.7457	-910.1713	800.0	800.0	65000	-34.198364	5.5914235	-19.40585	-62.860252	-34.1985	5.5943484	12.006758	-62.86629	33.275066	3.7196357	328.9824049472809
14	-735.858	245.78313	-481.43436	-1153.2229	-645.0912	146.7326	-482.03918	-1012.2538	800.0	800.0	70000	-36.236897	6.5120587	-21.68849	-68.29719	-36.23719	6.5197973	23.418053	-68.04809	35.15647	3.9445024	353.6858649253845
15	-621.6972	82.26642	-532.804	-761.8741	-717.5751	41.457603	-660.00995	-801.85345	800.0	800.0	75000	-38.065933	7.043306	-23.02223	-72.859406	-38.066654	7.0473566	29.885483	-72.932106	36.924114	4.8976264	378.6445665359497
